24.03. 17:00;Mauretania;Guinea-Bissau;2:0
24.03. 14:55;Uganda;Sao Tome and Principe;3:1
23.03. 01:30;Nikaragua;Kuba;3:1
23.03. 00:00;Dominikana;Turks i Caicos;4:0
22.03. 14:00;Guinea-Bissau;Burkina Faso;0:2
22.03. 13:00;Makao;Mauritius;0:1
21.03. 07:00;Tahiti;Nowa Kaledonia;0:0
25.12. 16:00;Jordania;Libia;1:1
18.12. 16:00;Bahrajn;Kuwejt;0:0
17.12. 15:10;Zjednoczone Emiraty Arabskie;Irak;1:0
15.12. 13:30;Oman;Jemen;1:0
15.12. 05:00;Vanuatu;Wyspy Salomona;3:2
15.12. 02:00;Fidi;Nowa Kaledonia;4:1
14.12. 23:00;Tuwalu;Tonga;4:3
14.12. 15:30;Katar;Liechtenstein;1:2
14.12. 14:00;Izrael U18;Niemcy U18;0:0
14.12. 12:40;Wietnam U19;Yokohama FC U21;1:3
14.12. 10:00;Tajlandia U21;Myanmar U21;0:1
13.12. 14:30;Wochy U18;Rumunia U18;0:0
12.12. 09:00;Nowa Kaledonia;Wyspy Salomona;0:1
12.12. 05:00;Vanuatu;Tuwalu;10:0
12.12. 02:00;Fidi;Tonga;4:0
11.12. 10:00;Izrael U18;Serbia U18;1:0
09.12. 14:00;Tajlandia U23;Japonia U20;2:1
09.12. 10:00;Wietnam U23;Myanmar U23;4:0
09.12. 05:00;Wyspy Salomona;Tuwalu;6:0
09.12. 02:00;Vanuatu;Fidi;1:1
08.12. 23:00;Tonga;Nowa Kaledonia;2:4
06.12. 10:00;Indonezja U23;Kyrgyzstan U23;0:1
06.12. 09:00;Vanuatu;Tonga;5:0
06.12. 06:00;Wyspy Salomona;Fidi;0:0
05.12. 12:00;Chiskie Tajpej;Laos;2:0
05.12. 09:00;Timor Wschodni;Filipiny;1:0
05.12. 09:00;Tuwalu;Nowa Kaledonia;2:1
04.12. 15:30;Indonezja U23;Mongolia U23;3:2
04.12. 12:00;Chiskie Tajpej;Timor Wschodni;3:1
04.12. 10:00;Brunei;Kyrgyzstan;0:4
03.12. 16:00;Benin;Kongo;1:3
03.12. 12:00;Chiskie Tajpej;Filipiny;3:0
03.12. 09:00;Laos;Timor Wschodni;2:1
03.12. 01:00;Saint Kitts i Nevis;Grenada;1:0
02.12. 13:30;Indonezja;Brunei;4:0
02.12. 10:00;Kyrgyzstan;Mongolia;3:0
02.12. 05:00;Nowa Kaledonia;Vanuatu;1:2
02.12. 02:00;Tonga;Wyspy Salomona;0:8
01.12. 23:00;Fidi;Tuwalu;8:0
01.12. 09:00;Laos;Filipiny;1:3
26.11. 07:00;Nowa Kaledonia;Estonia;1:1
25.11. 12:30;Indonezja;Guyana;2:1
23.11. 04:00;Vanuatu;Estonia;0:1
19.11. 03:00;Fidi;Estonia;0:2
15.11. 00:30;Trinidad i Tobago;Guyana;1:1
14.11. 21:45;Portugalia;USA;1:1
14.11. 21:00;Anglia;Brazylia;0:0
14.11. 20:45;Austria;Urugwaj;2:1
14.11. 20:45;Belgia;Japonia;1:0
14.11. 20:45;Niemcy;Francja;2:2
14.11. 20:45;Walia;Panama;1:1
14.11. 20:30;Algieria;Central African Rep.;3:0
14.11. 20:15;Wgry;Kostaryka;1:0
